
snap(20,-20,-40)

sky(195,220,380)
fog(255,214,214)
ground(227,218,202)
polys(217,211,180)
clouds(255,255,255,1,-1500)
mountains(23746)

fadefrom(6000)
density(5)

name(Dances with Monsters)

nlaps(3)

set(47,0,0,0)p
set(10,0,5600,0)p
set(22,0,8960,180)p
set(18,0,12320,0)p
set(18,0,17920,0)p
set(36,-1810,19000,90)ph
set(18,0,23520,0)p
set(22,0,26880,0)p
set(10,0,30240,0)p
chk(40,0,33040,0)
set(14,0,34790,0)
set(22,2310,34790,90)
set(22,3430,34790,-90)p
set(10,6790,34790,90)p
set(22,10150,34790,90)
set(22,11270,34790,-90)p
set(22,12390,34790,90)
set(18,15750,34790,-90)
set(36,14100,32980,180)ph
set(36,16060,32980,180)
set(22,19110,34790,-90)
set(22,20230,34790,-90)

set(10,23590,34790,90)p
set(10,26950,34790,90)p
set(23,29750,34790,90)
set(26,29750,34790,-90)pr

set(23,35490,34790,-90)p
set(10,38290,34790,-90)p
set(26,35490,34790,90)
set(14,42840,34790,-90)pt
set(22,42840,32480,0)p
set(18,42840,29120,0)p
set(18,42840,23520,180)
set(36,44650,28000,-90)
set(36,44650,26040,-90)ph 
set(36,44650,24080,-90)ph
set(18,42840,17920,0)p
set(19,42840,13370,180)pt
set(22,40530,13370,90)p
chk(40,39970,13370,90)
set(10,37170,13370,90)p
set(14,32620,13370,90)pt

set(22,32620,15680,180)
set(22,32620,16800,180)
set(22,32620,17920,0)
set(10,32620,21280,180)p
set(22,32620,24640,180)
set(22,32620,25760,0)

set(10,32620,29120,180)pr
set(23,32620,31920,180)
set(26,32620,31920,0)

set(23,32620,37660,0)
set(10,32620,40460,0)p
set(26,32620,37660,180)
set(10,32620,46060,0)p
set(14,32620,50610,-90)pt
set(10,28070,50610,-90)
chk(40,28070,50610,90)
set(14,23520,50610,0)pt
set(10,23520,46060,0)p
set(31,23520,39951,180)pr
set(23,23520,38271,0)

fix(41,23520,30000,-3500,0)
fix(41,20000,27000,-5100,0)
fix(41,23520,24000,-6700,0)

set(23,23520,31309,180)
set(31,23520,29629,0)p
set(10,23520,23520,180)p
set(10,23520,17920,180)p
set(22,23520,14560,0)
set(18,23520,11200,0)p
set(18,23520,5600,0)p
set(18,23520,0,0)p
set(18,23520,-5600,0)p
set(22,23520,-8960,180)
set(22,23520,-10080,0)
chk(40,23520,-9520,0)
set(19,23520,-12390,180)pt
set(18,18970,-12390,90)p
set(18,13370,-12390,90)p

set(25,12300,-10930,0)
set(36,12300,-9820,0)ph
set(25,12300,-13850,180)
set(36,12300,-14960,180)

set(25,10340,-10930,0)
set(36,10340,-9820,0)
set(25,10340,-13850,180)
set(36,10340,-14960,180)

set(25,8380,-10930,0)
set(36,8380,-9820,0)
set(25,8380,-13850,180)
set(36,8380,-14960,180)

set(18,7770,-12390,90)p
set(18,2170,-12390,90)

set(25,6420,-10930,0)
set(36,6420,-9820,0)
set(25,6420,-13850,180)
set(36,6420,-14960,180)ph

set(25,4460,-10930,0)
set(36,4460,-9820,0)
set(25,4460,-13850,180)
set(36,4460,-14960,180)ph

set(25,2500,-10930,0)
set(36,2500,-9820,0)
set(25,2500,-13850,180)
set(36,2500,-14960,180)ph

set(18,-3430,-12390,90)
set(18,-5490,-12390,90)
chk(40,-7240,-12390,90)
set(19,-10040,-12390,90)pt

